Book;Chapter;Verse;Content
Job;1;1;"There was a man in the land of Uz whose name was Job, and that man was blameless and upright, one who feared God and turned away from evil."
Job;1;2;"There were born to him seven sons and three daughters."
Job;1;3;"He possessed 7,000 sheep, 3,000 camels, 500 yoke of oxen, and 500 female donkeys, and very many servants, so that this man was the greatest of all the people of the east."
Job;1;4;"His sons used to go and hold a feast in the house of each one on his day, and they would send and invite their three sisters to eat and drink with them."
Job;1;5;"And when the days of the feast had run their course, Job would send and consecrate them, and he would rise early in the morning and offer burnt offerings according to the number of them all. For Job said, “It may be that my children have sinned, and cursed God in their hearts.” Thus Job did continually."
Job;1;6;"Now there was a day when the sons of God came to present themselves before the Lord, and Satan also came among them."
Job;1;7;"The Lord said to Satan, “From where have you come?” Satan answered the Lord and said, “From going to and fro on the earth, and from walking up and down on it.”"
Job;1;8;"And the Lord said to Satan, “Have you considered my servant Job, that there is none like him on the earth, a blameless and upright man, who fears God and turns away from evil?”"
Job;1;9;"Then Satan answered the Lord and said, “Does Job fear God for no reason?"
Job;1;10;"Have you not put a hedge around him and his house and all that he has, on every side? You have blessed the work of his hands, and his possessions have increased in the land."
Job;1;11;"But stretch out your hand and touch all that he has, and he will curse you to your face.”"
Job;1;12;"And the Lord said to Satan, “Behold, all that he has is in your hand. Only against him do not stretch out your hand.” So Satan went out from the presence of the Lord."
Job;1;13;"Now there was a day when his sons and daughters were eating and drinking wine in their oldest brother's house,"
Job;1;14;"and there came a messenger to Job and said, “The oxen were plowing and the donkeys feeding beside them,"
Job;1;15;"and the Sabeans fell upon them and took them and struck down the servants with the edge of the sword, and I alone have escaped to tell you.”"
Job;1;16;"While he was yet speaking, there came another and said, “The fire of God fell from heaven and burned up the sheep and the servants and consumed them, and I alone have escaped to tell you.”"
Job;1;17;"While he was yet speaking, there came another and said, “The Chaldeans formed three groups and made a raid on the camels and took them and struck down the servants with the edge of the sword, and I alone have escaped to tell you.”"
Job;1;18;"While he was yet speaking, there came another and said, “Your sons and daughters were eating and drinking wine in their oldest brother's house,"
Job;1;19;"and behold, a great wind came across the wilderness and struck the four corners of the house, and it fell upon the young people, and they are dead, and I alone have escaped to tell you.”"
Job;1;20;"Then Job arose and tore his robe and shaved his head and fell on the ground and worshiped."
Job;1;21;"And he said, “Naked I came from my mother's womb, and naked shall I return. The Lord"
Job;1;22;"In all this Job did not sin or charge God with wrong."
Job;2;2;"Again there was a day when the sons of God came to present themselves before the Lord, and Satan also came among them to present himself before the Lord."
Job;2;2;"And the Lord said to Satan, “From where have you come?” Satan answered the Lord and said, “From going to and fro on the earth, and from walking up and down on it.”"
Job;2;3;"And the Lord said to Satan, “Have you considered my servant Job, that there is none like him on the earth, a blameless and upright man, who fears God and turns away from evil? He still holds fast his integrity, although you incited me against him to destroy him without reason.”"
Job;2;4;"Then Satan answered the Lord and said, “Skin for skin! All that a man has he will give for his life."
Job;2;5;"But stretch out your hand and touch his bone and his flesh, and he will curse you to your face.”"
Job;2;6;"And the Lord said to Satan, “Behold, he is in your hand; only spare his life.”"
Job;2;7;"So Satan went out from the presence of the Lord and struck Job with loathsome sores from the sole of his foot to the crown of his head."
Job;2;8;"And he took a piece of broken pottery with which to scrape himself while he sat in the ashes."
Job;2;9;"Then his wife said to him, “Do you still hold fast your integrity? Curse God and die.”"
Job;2;10;"But he said to her, “You speak as one of the foolish women would speak. Shall we receive good from God, and shall we not receive evil?” In all this Job did not sin with his lips."
Job;2;11;"Now when Job's three friends heard of all this evil that had come upon him, they came each from his own place, Eliphaz the Temanite, Bildad the Shuhite, and Zophar the Naamathite. They made an appointment together to come to show him sympathy and comfort him."
Job;2;12;"And when they saw him from a distance, they did not recognize him. And they raised their voices and wept, and they tore their robes and sprinkled dust on their heads toward heaven."
Job;2;13;"And they sat with him on the ground seven days and seven nights, and no one spoke a word to him, for they saw that his suffering was very great."
Job;3;3;"After this Job opened his mouth and cursed the day of his birth."
Job;3;2;"And Job said:"
Job;3;3;"“Let the day perish on which I was born,"
Job;3;4;"Let that day be darkness!"
Job;3;5;"Let gloom and deep darkness claim it."
Job;3;6;"That night—let thick darkness seize it!"
Job;3;7;"Behold, let that night be barren;"
Job;3;8;"Let those curse it who curse the day,"
Job;3;9;"Let the stars of its dawn be dark;"
Job;3;10;"because it did not shut the doors of my mother's womb,"
Job;3;11;"“Why did I not die at birth,"
Job;3;12;"Why did the knees receive me?"
Job;3;13;"For then I would have lain down and been quiet;"
Job;3;14;"with kings and counselors of the earth"
Job;3;15;"or with princes who had gold,"
Job;3;16;"Or why was I not as a hidden stillborn child,"
Job;3;17;"There the wicked cease from troubling,"
Job;3;18;"There the prisoners are at ease together;"
Job;3;19;"The small and the great are there,"
Job;3;20;"“Why is light given to him who is in misery,"
Job;3;21;"who long for death, but it comes not,"
Job;3;22;"who rejoice exceedingly"
Job;3;23;"Why is light given to a man whose way is hidden,"
Job;3;24;"For my sighing comes instead of my bread,"
Job;3;25;"For the thing that I fear comes upon me,"
Job;3;26;"I am not at ease, nor am I quiet;"
Job;4;4;"Then Eliphaz the Temanite answered and said:"
Job;4;2;"“If one ventures a word with you, will you be impatient?"
Job;4;3;"Behold, you have instructed many,"
Job;4;4;"Your words have upheld him who was stumbling,"
Job;4;5;"But now it has come to you, and you are impatient;"
Job;4;6;"Is not your fear of God your confidence,"
Job;4;7;"“Remember: who that was innocent ever perished?"
Job;4;8;"As I have seen, those who plow iniquity"
Job;4;9;"By the breath of God they perish,"
Job;4;10;"The roar of the lion, the voice of the fierce lion,"
Job;4;11;"The strong lion perishes for lack of prey,"
Job;4;12;"“Now a word was brought to me stealthily;"
Job;4;13;"Amid thoughts from visions of the night,"
Job;4;14;"dread came upon me, and trembling,"
Job;4;15;"A spirit glided past my face;"
Job;4;16;"It stood still,"
Job;4;17;"‘Can mortal man be in the right before God?"
Job;4;18;"Even in his servants he puts no trust,"
Job;4;19;"how much more those who dwell in houses of clay,"
Job;4;20;"Between morning and evening they are beaten to pieces;"
Job;4;21;"Is not their tent-cord plucked up within them,"
Job;5;5;"“Call now; is there anyone who will answer you?"
Job;5;2;"Surely vexation kills the fool,"
Job;5;3;"I have seen the fool taking root,"
Job;5;4;"His children are far from safety;"
Job;5;5;"The hungry eat his harvest,"
Job;5;6;"For affliction does not come from the dust,"
Job;5;7;"but man is born to trouble"
Job;5;8;"“As for me, I would seek God,"
Job;5;9;"who does great things and unsearchable,"
Job;5;10;"he gives rain on the earth"
Job;5;11;"he sets on high those who are lowly,"
Job;5;12;"He frustrates the devices of the crafty,"
Job;5;13;"He catches the wise in their own craftiness,"
Job;5;14;"They meet with darkness in the daytime"
Job;5;15;"But he saves the needy from the sword of their mouth"
Job;5;16;"So the poor have hope,"
Job;5;17;"“Behold, blessed is the one whom God reproves;"
Job;5;18;"For he wounds, but he binds up;"
Job;5;19;"He will deliver you from six troubles;"
Job;5;20;"In famine he will redeem you from death,"
Job;5;21;"You shall be hidden from the lash of the tongue,"
Job;5;22;"At destruction and famine you shall laugh,"
Job;5;23;"For you shall be in league with the stones of the field,"
Job;5;24;"You shall know that your tent is at peace,"
Job;5;25;"You shall know also that your offspring shall be many,"
Job;5;26;"You shall come to your grave in ripe old age,"
Job;5;27;"Behold, this we have searched out; it is true."
Job;6;6;"Then Job answered and said:"
Job;6;2;"“Oh that my vexation were weighed,"
Job;6;3;"For then it would be heavier than the sand of the sea;"
Job;6;4;"For the arrows of the Almighty are in me;"
Job;6;5;"Does the wild donkey bray when he has grass,"
Job;6;6;"Can that which is tasteless be eaten without salt,"
Job;6;7;"My appetite refuses to touch them;"
Job;6;8;"“Oh that I might have my request,"
Job;6;9;"that it would please God to crush me,"
Job;6;10;"This would be my comfort;"
Job;6;11;"What is my strength, that I should wait?"
Job;6;12;"Is my strength the strength of stones, or is my flesh bronze?"
Job;6;13;"Have I any help in me,"
Job;6;14;"“He who withholds kindness from a friend"
Job;6;15;"My brothers are treacherous as a torrent-bed,"
Job;6;16;"which are dark with ice,"
Job;6;17;"When they melt, they disappear;"
Job;6;18;"The caravans turn aside from their course;"
Job;6;19;"The caravans of Tema look,"
Job;6;20;"They are ashamed because they were confident;"
Job;6;21;"For you have now become nothing;"
Job;6;22;"Have I said, ‘Make me a gift’?"
Job;6;23;"Or, ‘Deliver me from the adversary's hand’?"
Job;6;24;"“Teach me, and I will be silent;"
Job;6;25;"How forceful are upright words!"
Job;6;26;"Do you think that you can reprove words,"
Job;6;27;"You would even cast lots over the fatherless,"
Job;6;28;"“But now, be pleased to look at me,"
Job;6;29;"Please turn; let no injustice be done."
Job;6;30;"Is there any injustice on my tongue?"
Job;7;7;"“Has not man a hard service on earth,"
Job;7;2;"Like a slave who longs for the shadow,"
Job;7;3;"so I am allotted months of emptiness,"
Job;7;4;"When I lie down I say, ‘When shall I arise?’"
Job;7;5;"My flesh is clothed with worms and dirt;"
Job;7;6;"My days are swifter than a weaver's shuttle"
Job;7;7;"“Remember that my life is a breath;"
Job;7;8;"The eye of him who sees me will behold me no more;"
Job;7;9;"As the cloud fades and vanishes,"
Job;7;10;"he returns no more to his house,"
Job;7;11;"“Therefore I will not restrain my mouth;"
Job;7;12;"Am I the sea, or a sea monster,"
Job;7;13;"When I say, ‘My bed will comfort me,"
Job;7;14;"then you scare me with dreams"
Job;7;15;"so that I would choose strangling"
Job;7;16;"I loathe my life; I would not live forever."
Job;7;17;"What is man, that you make so much of him,"
Job;7;18;"visit him every morning"
Job;7;19;"How long will you not look away from me,"
Job;7;20;"If I sin, what do I do to you, you watcher of mankind?"
Job;7;21;"Why do you not pardon my transgression"
Job;8;8;"Then Bildad the Shuhite answered and said:"
Job;8;2;"“How long will you say these things,"
Job;8;3;"Does God pervert justice?"
Job;8;4;"If your children have sinned against him,"
Job;8;5;"If you will seek God"
Job;8;6;"if you are pure and upright,"
Job;8;7;"And though your beginning was small,"
Job;8;8;"“For inquire, please, of bygone ages,"
Job;8;9;"For we are but of yesterday and know nothing,"
Job;8;10;"Will they not teach you and tell you"
Job;8;11;"“Can papyrus grow where there is no marsh?"
Job;8;12;"While yet in flower and not cut down,"
Job;8;13;"Such are the paths of all who forget God;"
Job;8;14;"His confidence is severed,"
Job;8;15;"He leans against his house, but it does not stand;"
Job;8;16;"He is a lush plant before the sun,"
Job;8;17;"His roots entwine the stone heap;"
Job;8;18;"If he is destroyed from his place,"
Job;8;19;"Behold, this is the joy of his way,"
Job;8;20;"“Behold, God will not reject a blameless man,"
Job;8;21;"He will yet fill your mouth with laughter,"
Job;8;22;"Those who hate you will be clothed with shame,"
Job;9;9;"Then Job answered and said:"
Job;9;2;"“Truly I know that it is so:"
Job;9;3;"If one wished to contend with him,"
Job;9;4;"He is wise in heart and mighty in strength"
Job;9;5;"he who removes mountains, and they know it not,"
Job;9;6;"who shakes the earth out of its place,"
Job;9;7;"who commands the sun, and it does not rise;"
Job;9;8;"who alone stretched out the heavens"
Job;9;9;"who made the Bear and Orion,"
Job;9;10;"who does great things beyond searching out,"
Job;9;11;"Behold, he passes by me, and I see him not;"
Job;9;12;"Behold, he snatches away; who can turn him back?"
Job;9;13;"“God will not turn back his anger;"
Job;9;14;"How then can I answer him,"
Job;9;15;"Though I am in the right, I cannot answer him;"
Job;9;16;"If I summoned him and he answered me,"
Job;9;17;"For he crushes me with a tempest"
Job;9;18;"he will not let me get my breath,"
Job;9;19;"If it is a contest of strength, behold, he is mighty!"
Job;9;20;"Though I am in the right, my own mouth would condemn me;"
Job;9;21;"I am blameless; I regard not myself;"
Job;9;22;"It is all one; therefore I say,"
Job;9;23;"When disaster brings sudden death,"
Job;9;24;"The earth is given into the hand of the wicked;"
Job;9;25;"“My days are swifter than a runner;"
Job;9;26;"They go by like skiffs of reed,"
Job;9;27;"If I say, ‘I will forget my complaint,"
Job;9;28;"I become afraid of all my suffering,"
Job;9;29;"I shall be condemned;"
Job;9;30;"If I wash myself with snow"
Job;9;31;"yet you will plunge me into a pit,"
