Book;Chapter;Verse;Content
Psalm;1;1;"Blessed is the man"
Psalm;1;2;"but his delight is in the law of the Lord,"
Psalm;1;3;"He is like a tree"
Psalm;1;4;"The wicked are not so,"
Psalm;1;5;"Therefore the wicked will not stand in the judgment,"
Psalm;1;6;"for the Lord"
Psalm;2;2;"Why do the nations rage"
Psalm;2;2;"The kings of the earth set themselves,"
Psalm;2;3;"“Let us burst their bonds apart"
Psalm;2;4;"He who sits in the heavens laughs;"
Psalm;2;5;"Then he will speak to them in his wrath,"
Psalm;2;6;"“As for me, I have set my King"
Psalm;2;7;"I will tell of the decree:"
Psalm;2;8;"Ask of me, and I will make the nations your heritage,"
Psalm;2;9;"You shall break them with a rod of iron"
Psalm;2;10;"Now therefore, O kings, be wise;"
Psalm;2;11;"Serve the Lord with fear,"
Psalm;2;12;"Kiss the Son,"
Psalm;3;3;"O Lord, how many are my foes!"
Psalm;3;2;"many are saying of my soul,"
Psalm;3;3;"But you, O Lord, are a shield about me,"
Psalm;3;4;"I cried aloud to the Lord,"
Psalm;3;5;"I lay down and slept;"
Psalm;3;6;"I will not be afraid of many thousands of people"
Psalm;3;7;"Arise, O Lord!"
Psalm;3;8;"Salvation belongs to the Lord;"
Psalm;4;4;"Answer me when I call, O God of my righteousness!"
Psalm;4;2;"O men, how long shall my honor be turned into shame?"
Psalm;4;3;"But know that the Lord has set apart the godly for himself;"
Psalm;4;4;"Be angry, and do not sin;"
Psalm;4;5;"Offer right sacrifices,"
Psalm;4;6;"There are many who say, “Who will show us some good?"
Psalm;4;7;"You have put more joy in my heart"
Psalm;4;8;"In peace I will both lie down and sleep;"
Psalm;5;5;"Give ear to my words, O Lord;"
Psalm;5;2;"Give attention to the sound of my cry,"
Psalm;5;3;"O Lord, in the morning you hear my voice;"
Psalm;5;4;"For you are not a God who delights in wickedness;"
Psalm;5;5;"The boastful shall not stand before your eyes;"
Psalm;5;6;"You destroy those who speak lies;"
Psalm;5;7;"But I, through the abundance of your steadfast love,"
Psalm;5;8;"Lead me, O Lord, in your righteousness"
Psalm;5;9;"For there is no truth in their mouth;"
Psalm;5;10;"Make them bear their guilt, O God;"
Psalm;5;11;"But let all who take refuge in you rejoice;"
Psalm;5;12;"For you bless the righteous, O Lord;"
Psalm;6;6;"O Lord, rebuke me not in your anger,"
Psalm;6;2;"Be gracious to me, O Lord, for I am languishing;"
Psalm;6;3;"My soul also is greatly troubled."
Psalm;6;4;"Turn, O Lord, deliver my life;"
Psalm;6;5;"For in death there is no remembrance of you;"
Psalm;6;6;"I am weary with my moaning;"
Psalm;6;7;"My eye wastes away because of grief;"
Psalm;6;8;"Depart from me, all you workers of evil,"
Psalm;6;9;"The Lord has heard my plea;"
Psalm;6;10;"All my enemies shall be ashamed and greatly troubled;"
Psalm;7;7;"O Lord my God, in you do I take refuge;"
Psalm;7;2;"lest like a lion they tear my soul apart,"
Psalm;7;3;"O Lord my God, if I have done this,"
Psalm;7;4;"if I have repaid my friend with evil"
Psalm;7;5;"let the enemy pursue my soul and overtake it,"
Psalm;7;6;"Arise, O Lord, in your anger;"
Psalm;7;7;"Let the assembly of the peoples be gathered about you;"
Psalm;7;8;"The Lord"
Psalm;7;9;"Oh, let the evil of the wicked come to an end,"
Psalm;7;10;"My shield is with God,"
Psalm;7;11;"God is a righteous judge,"
Psalm;7;12;"If a man does not repent, God will whet his sword;"
Psalm;7;13;"he has prepared for him his deadly weapons,"
Psalm;7;14;"Behold, the wicked man conceives evil"
Psalm;7;15;"He makes a pit, digging it out,"
Psalm;7;16;"His mischief returns upon his own head,"
Psalm;7;17;"I will give to the Lord the thanks due to his righteousness,"
Psalm;8;8;"O Lord, our Lord,"
Psalm;8;2;"&nbsp;&nbsp;&nbsp;&nbsp;"
Psalm;8;3;"When I look at your heavens, the work of your fingers,"
Psalm;8;4;"what is man that you are mindful of him,"
Psalm;8;5;"Yet you have made him a little lower than the heavenly beings"
Psalm;8;6;"You have given him dominion over the works of your hands;"
Psalm;8;7;"all sheep and oxen,"
Psalm;8;8;"the birds of the heavens, and the fish of the sea,"
Psalm;8;9;"O Lord, our Lord,"
Psalm;9;9;"I will give thanks to the Lord with my whole heart;"
Psalm;9;2;"I will be glad and exult in you;"
Psalm;9;3;"When my enemies turn back,"
Psalm;9;4;"For you have maintained my just cause;"
Psalm;9;5;"You have rebuked the nations; you have made the wicked perish;"
Psalm;9;6;"The enemy came to an end in everlasting ruins;"
Psalm;9;7;"But the Lord sits enthroned forever;"
Psalm;9;8;"and he judges the world with righteousness;"
Psalm;9;9;"The Lord is a stronghold for the oppressed,"
Psalm;9;10;"And those who know your name put their trust in you,"
Psalm;9;11;"Sing praises to the Lord, who sits enthroned in Zion!"
Psalm;9;12;"For he who avenges blood is mindful of them;"
Psalm;9;13;"Be gracious to me, O Lord!"
Psalm;9;14;"that I may recount all your praises,"
Psalm;9;15;"The nations have sunk in the pit that they made;"
Psalm;9;16;"The Lord has made himself known; he has executed judgment;"
Psalm;9;17;"The wicked shall return to Sheol,"
Psalm;9;18;"For the needy shall not always be forgotten,"
