Book;Chapter;Verse;Content
Proverbs;1;1;"The proverbs of Solomon, son of David, king of Israel:"
Proverbs;1;2;"To know wisdom and instruction,"
Proverbs;1;3;"to receive instruction in wise dealing,"
Proverbs;1;4;"to give prudence to the simple,"
Proverbs;1;5;"Let the wise hear and increase in learning,"
Proverbs;1;6;"to understand a proverb and a saying,"
Proverbs;1;7;"The fear of the Lord is the beginning of knowledge;"
Proverbs;1;8;"Hear, my son, your father's instruction,"
Proverbs;1;9;"for they are a graceful garland for your head"
Proverbs;1;10;"My son, if sinners entice you,"
Proverbs;1;11;"If they say, “Come with us, let us lie in wait for blood;"
Proverbs;1;12;"like Sheol let us swallow them alive,"
Proverbs;1;13;"we shall find all precious goods,"
Proverbs;1;14;"throw in your lot among us;"
Proverbs;1;15;"my son, do not walk in the way with them;"
Proverbs;1;16;"for their feet run to evil,"
Proverbs;1;17;"For in vain is a net spread"
Proverbs;1;18;"but these men lie in wait for their own blood;"
Proverbs;1;19;"Such are the ways of everyone who is greedy for unjust gain;"
Proverbs;1;20;"Wisdom cries aloud in the street,"
Proverbs;1;21;"at the head of the noisy streets she cries out;"
Proverbs;1;22;"“How long, O simple ones, will you love being simple?"
Proverbs;1;23;"If you turn at my reproof,"
Proverbs;1;24;"Because I have called and you refused to listen,"
Proverbs;1;25;"because you have ignored all my counsel"
Proverbs;1;26;"I also will laugh at your calamity;"
Proverbs;1;27;"when terror strikes you like a storm"
Proverbs;1;28;"Then they will call upon me, but I will not answer;"
Proverbs;1;29;"Because they hated knowledge"
Proverbs;1;30;"would have none of my counsel"
Proverbs;1;31;"therefore they shall eat the fruit of their way,"
Proverbs;1;32;"For the simple are killed by their turning away,"
Proverbs;1;33;"but whoever listens to me will dwell secure"
Proverbs;2;2;"My son, if you receive my words"
Proverbs;2;2;"making your ear attentive to wisdom"
Proverbs;2;3;"yes, if you call out for insight"
Proverbs;2;4;"if you seek it like silver"
Proverbs;2;5;"then you will understand the fear of the Lord"
Proverbs;2;6;"For the Lord gives wisdom;"
Proverbs;2;7;"he stores up sound wisdom for the upright;"
Proverbs;2;8;"guarding the paths of justice"
Proverbs;2;9;"Then you will understand righteousness and justice"
Proverbs;2;10;"for wisdom will come into your heart,"
Proverbs;2;11;"discretion will watch over you,"
Proverbs;2;12;"delivering you from the way of evil,"
Proverbs;2;13;"who forsake the paths of uprightness"
Proverbs;2;14;"who rejoice in doing evil"
Proverbs;2;15;"men whose paths are crooked,"
