Book;Chapter;Verse;Content
Song of Solomon;1;1;"The Song of Songs, which is Solomon's."
Song of Solomon;1;2;"Let him kiss me with the kisses of his mouth!"
Song of Solomon;1;3;"&nbsp;&nbsp;&nbsp;&nbsp;your anointing oils are fragrant;"
Song of Solomon;1;4;"Draw me after you; let us run."
Song of Solomon;1;5;"I am very dark, but lovely,"
Song of Solomon;1;6;"Do not gaze at me because I am dark,"
Song of Solomon;1;7;"Tell me, you whom my soul loves,"
Song of Solomon;1;8;"If you do not know,"
Song of Solomon;1;9;"I compare you, my love,"
Song of Solomon;1;10;"Your cheeks are lovely with ornaments,"
Song of Solomon;1;11;"We will make for you ornaments of gold,"
Song of Solomon;1;12;"While the king was on his couch,"
Song of Solomon;1;13;"My beloved is to me a sachet of myrrh"
Song of Solomon;1;14;"My beloved is to me a cluster of henna blossoms"
Song of Solomon;1;15;"Behold, you are beautiful, my love;"
Song of Solomon;1;16;"Behold, you are beautiful, my beloved, truly delightful."
Song of Solomon;1;17;"&nbsp;&nbsp;&nbsp;&nbsp;the beams of our house are cedar;"
Song of Solomon;2;2;"I am a rose of Sharon,"
Song of Solomon;2;2;"As a lily among brambles,"
Song of Solomon;2;3;"As an apple tree among the trees of the forest,"
Song of Solomon;2;4;"He brought me to the banqueting house,"
Song of Solomon;2;5;"Sustain me with raisins;"
Song of Solomon;2;6;"His left hand is under my head,"
Song of Solomon;2;7;"I adjure you, O daughters of Jerusalem,"
Song of Solomon;2;8;"The voice of my beloved!"
Song of Solomon;2;9;"My beloved is like a gazelle"
Song of Solomon;2;10;"My beloved speaks and says to me:"
Song of Solomon;2;11;"for behold, the winter is past;"
Song of Solomon;2;12;"The flowers appear on the earth,"
Song of Solomon;2;13;"The fig tree ripens its figs,"
Song of Solomon;2;14;"O my dove, in the clefts of the rock,"
Song of Solomon;2;15;"Catch the foxes for us,"
Song of Solomon;2;16;"My beloved is mine, and I am his;"
Song of Solomon;2;17;"Until the day breathes"
Song of Solomon;3;3;"On my bed by night"
Song of Solomon;3;2;"I will rise now and go about the city,"
Song of Solomon;3;3;"The watchmen found me"
