Book;Chapter;Verse;Content
Isaiah;1;1;"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah."
Isaiah;1;2;"Hear, O heavens, and give ear, O earth;"
Isaiah;1;3;"The ox knows its owner,"
Isaiah;1;4;"Ah, sinful nation,"
Isaiah;1;5;"Why will you still be struck down?"
Isaiah;1;6;"From the sole of the foot even to the head,"
Isaiah;1;7;"Your country lies desolate;"
Isaiah;1;8;"And the daughter of Zion is left"
Isaiah;1;9;"If the Lord of hosts"
Isaiah;1;10;"Hear the word of the Lord,"
Isaiah;1;11;"“What to me is the multitude of your sacrifices?"
Isaiah;1;12;"“When you come to appear before me,"
Isaiah;1;13;"Bring no more vain offerings;"
Isaiah;1;14;"Your new moons and your appointed feasts"
Isaiah;1;15;"When you spread out your hands,"
Isaiah;1;16;"Wash yourselves; make yourselves clean;"
Isaiah;1;17;"&nbsp;&nbsp;&nbsp;&nbsp;learn to do good;"
Isaiah;1;18;"“Come now, let us reason together, says the Lord:"
Isaiah;1;19;"If you are willing and obedient,"
Isaiah;1;20;"but if you refuse and rebel,"
Isaiah;1;21;"How the faithful city"
Isaiah;1;22;"Your silver has become dross,"
Isaiah;1;23;"Your princes are rebels"
Isaiah;1;24;"Therefore the Lord declares,"
Isaiah;1;25;"I will turn my hand against you"
Isaiah;1;26;"And I will restore your judges as at the first,"
Isaiah;1;27;"Zion shall be redeemed by justice,"
Isaiah;1;28;"But rebels and sinners shall be broken together,"
Isaiah;1;29;"For they shall be ashamed of the oaks"
Isaiah;1;30;"For you shall be like an oak"
Isaiah;1;31;"And the strong shall become tinder,"
Isaiah;2;2;"The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem."
Isaiah;2;2;"It shall come to pass in the latter days"
Isaiah;2;3;"&nbsp;&nbsp;&nbsp;&nbsp;and many peoples shall come, and say:"
Isaiah;2;4;"He shall judge between the nations,"
Isaiah;2;5;"O house of Jacob,"
Isaiah;2;6;"For you have rejected your people,"
Isaiah;2;7;"Their land is filled with silver and gold,"
Isaiah;2;8;"Their land is filled with idols;"
Isaiah;2;9;"So man is humbled,"
Isaiah;2;10;"Enter into the rock"
Isaiah;2;11;"The haughty looks of man shall be brought low,"
Isaiah;2;12;"For the Lord of hosts has a day"
Isaiah;2;13;"against all the cedars of Lebanon,"
Isaiah;2;14;"against all the lofty mountains,"
Isaiah;2;15;"against every high tower,"
Isaiah;2;16;"against all the ships of Tarshish,"
Isaiah;2;17;"And the haughtiness of man shall be humbled,"
Isaiah;2;18;"And the idols shall utterly pass away."
Isaiah;2;19;"And people shall enter the caves of the rocks"
Isaiah;2;20;"In that day mankind will cast away"
Isaiah;2;21;"to enter the caverns of the rocks"
Isaiah;2;22;"Stop regarding man"
Isaiah;3;3;"For behold, the Lord God of hosts"
Isaiah;3;2;"the mighty man and the soldier,"
Isaiah;3;3;"the captain of fifty"
Isaiah;3;4;"And I will make boys their princes,"
Isaiah;3;5;"And the people will oppress one another,"
Isaiah;3;6;"For a man will take hold of his brother"
Isaiah;3;7;"in that day he will speak out, saying:"
Isaiah;3;8;"For Jerusalem has stumbled,"
Isaiah;3;9;"For the look on their faces bears witness against them;"
Isaiah;3;10;"Tell the righteous that it shall be well with them,"
Isaiah;3;11;"Woe to the wicked! It shall be ill with him,"
Isaiah;3;12;"My people—infants are their oppressors,"
Isaiah;3;13;"The Lord"
Isaiah;3;14;"The Lord will enter into judgment"
Isaiah;3;15;"What do you mean by crushing my people,"
Isaiah;3;16;"The Lord said:"
Isaiah;3;17;"therefore the Lord will strike with a scab"
Isaiah;3;18;"In that day the Lord will take away the finery of the anklets, the headbands, and the crescents;"
Isaiah;3;19;"the pendants, the bracelets, and the scarves;"
Isaiah;3;20;"the headdresses, the armlets, the sashes, the perfume boxes, and the amulets;"
Isaiah;3;21;"the signet rings and nose rings;"
Isaiah;3;22;"the festal robes, the mantles, the cloaks, and the handbags;"
Isaiah;3;23;"the mirrors, the linen garments, the turbans, and the veils."
Isaiah;3;24;"Instead of perfume there will be rottenness;"
Isaiah;3;25;"Your men shall fall by the sword"
Isaiah;3;26;"And her gates shall lament and mourn;"
Isaiah;4;4;"And seven women shall take hold of one man in that day, saying, “We will eat our own bread and wear our own clothes, only let us be called by your name; take away our reproach.”"
Isaiah;4;2;"In that day the branch of the Lord shall be beautiful and glorious, and the fruit of the land shall be the pride and honor of the survivors of Israel."
Isaiah;4;3;"And he who is left in Zion and remains in Jerusalem will be called holy, everyone who has been recorded for life in Jerusalem,"
Isaiah;4;4;"when the Lord shall have washed away the filth of the daughters of Zion and cleansed the bloodstains of Jerusalem from its midst by a spirit of judgment and by a spirit of burning."
Isaiah;4;5;"Then the Lord will create over the whole site of Mount Zion and over her assemblies a cloud by day, and smoke and the shining of a flaming fire by night; for over all the glory there will be a canopy."
Isaiah;4;6;"There will be a booth for shade by day from the heat, and for a refuge and a shelter from the storm and rain."
Isaiah;5;5;"Let me sing for my beloved"
Isaiah;5;2;"He dug it and cleared it of stones,"
Isaiah;5;3;"And now, O inhabitants of Jerusalem"
Isaiah;5;4;"What more was there to do for my vineyard,"
Isaiah;5;5;"And now I will tell you"
Isaiah;5;6;"I will make it a waste;"
Isaiah;5;7;"For the vineyard of the Lord of hosts"
Isaiah;5;8;"Woe to those who join house to house,"
