Book;Chapter;Verse;Content
Lamentations;1;1;"How lonely sits the city"
Lamentations;1;2;"She weeps bitterly in the night,"
Lamentations;1;3;"Judah has gone into exile because of affliction"
Lamentations;1;4;"The roads to Zion mourn,"
Lamentations;1;5;"Her foes have become the head;"
Lamentations;1;6;"From the daughter of Zion"
Lamentations;1;7;"Jerusalem remembers"
Lamentations;1;8;"Jerusalem sinned grievously;"
Lamentations;1;9;"Her uncleanness was in her skirts;"
Lamentations;1;10;"The enemy has stretched out his hands"
Lamentations;1;11;"All her people groan"
Lamentations;1;12;"“Is it nothing to you, all you who pass by?"
Lamentations;1;13;"“From on high he sent fire;"
Lamentations;1;14;"“My transgressions were bound into a yoke;"
Lamentations;1;15;"“The Lord rejected"
Lamentations;1;16;"“For these things I weep;"
Lamentations;1;17;"Zion stretches out her hands,"
Lamentations;1;18;"“The Lord is in the right,"
Lamentations;1;19;"“I called to my lovers,"
Lamentations;1;20;"“Look, O Lord, for I am in distress;"
Lamentations;1;21;"“They heard my groaning,"
Lamentations;1;22;"“Let all their evildoing come before you,"
Lamentations;2;2;"How the Lord in his anger"
Lamentations;2;2;"The Lord has swallowed up without mercy"
Lamentations;2;3;"He has cut down in fierce anger"
Lamentations;2;4;"He has bent his bow like an enemy,"
Lamentations;2;5;"The Lord has become like an enemy;"
Lamentations;2;6;"He has laid waste his booth like a garden,"
Lamentations;2;7;"The Lord has scorned his altar,"
Lamentations;2;8;"The Lord determined to lay in ruins"
Lamentations;2;9;"Her gates have sunk into the ground;"
Lamentations;2;10;"The elders of the daughter of Zion"
Lamentations;2;11;"My eyes are spent with weeping;"
Lamentations;2;12;"They cry to their mothers,"
Lamentations;2;13;"What can I say for you, to what compare you,"
Lamentations;2;14;"Your prophets have seen for you"
Lamentations;2;15;"All who pass along the way"
Lamentations;2;16;"All your enemies"
Lamentations;2;17;"The Lord has done what he purposed;"
Lamentations;2;18;"Their heart cried to the Lord."
Lamentations;2;19;"“Arise, cry out in the night,"
Lamentations;2;20;"Look, O Lord, and see!"
Lamentations;2;21;"In the dust of the streets"
Lamentations;2;22;"You summoned as if to a festival day"
Lamentations;3;3;"I am the man who has seen affliction"
Lamentations;3;2;"he has driven and brought me"
Lamentations;3;3;"surely against me he turns his hand"
Lamentations;3;4;"He has made my flesh and my skin waste away;"
Lamentations;3;5;"he has besieged and enveloped me"
Lamentations;3;6;"he has made me dwell in darkness"
Lamentations;3;7;"He has walled me about so that I cannot escape;"
Lamentations;3;8;"though I call and cry for help,"
Lamentations;3;9;"he has blocked my ways with blocks of stones;"
Lamentations;3;10;"He is a bear lying in wait for me,"
Lamentations;3;11;"he turned aside my steps and tore me to pieces;"
Lamentations;3;12;"he bent his bow and set me"
Lamentations;3;13;"He drove into my kidneys"
Lamentations;3;14;"I have become the laughingstock of all peoples,"
Lamentations;3;15;"He has filled me with bitterness;"
Lamentations;3;16;"He has made my teeth grind on gravel,"
Lamentations;3;17;"my soul is bereft of peace;"
Lamentations;3;18;"so I say, “My endurance has perished;"
Lamentations;3;19;"Remember my affliction and my wanderings,"
Lamentations;3;20;"My soul continually remembers it"
Lamentations;3;21;"But this I call to mind,"
Lamentations;3;22;"The steadfast love of the Lord never ceases;"
Lamentations;3;23;"they are new every morning;"
Lamentations;3;24;"“The Lord is my portion,” says my soul,"
Lamentations;3;25;"The Lord is good to those who wait for him,"
Lamentations;3;26;"It is good that one should wait quietly"
Lamentations;3;27;"It is good for a man that he bear"
Lamentations;3;28;"Let him sit alone in silence"
Lamentations;3;29;"let him put his mouth in the dust—"
Lamentations;3;30;"let him give his cheek to the one who strikes,"
Lamentations;3;31;"For the Lord will not"
Lamentations;3;32;"but, though he cause grief, he will have compassion"
Lamentations;3;33;"for he does not afflict from his heart"
Lamentations;3;34;"To crush underfoot"
Lamentations;3;35;"to deny a man justice"
Lamentations;3;36;"to subvert a man in his lawsuit,"
Lamentations;3;37;"Who has spoken and it came to pass,"
Lamentations;3;38;"Is it not from the mouth of the Most High"
Lamentations;3;39;"Why should a living man complain,"
Lamentations;3;40;"Let us test and examine our ways,"
Lamentations;3;41;"Let us lift up our hearts and hands"
Lamentations;3;42;"“We have transgressed and rebelled,"
Lamentations;3;43;"“You have wrapped yourself with anger and pursued us,"
Lamentations;3;44;"you have wrapped yourself with a cloud"
Lamentations;3;45;"You have made us scum and garbage"
Lamentations;3;46;"“All our enemies"
Lamentations;3;47;"panic and pitfall have come upon us,"
Lamentations;3;48;"my eyes flow with rivers of tears"
Lamentations;3;49;"“My eyes will flow without ceasing,"
Lamentations;3;50;"until the Lord from heaven"
Lamentations;3;51;"my eyes cause me grief"
Lamentations;3;52;"“I have been hunted like a bird"
Lamentations;3;53;"they flung me alive into the pit"
Lamentations;3;54;"water closed over my head;"
Lamentations;3;55;"“I called on your name, O Lord,"
Lamentations;3;56;"you heard my plea, ‘Do not close"
Lamentations;3;57;"You came near when I called on you;"
Lamentations;3;58;"“You have taken up my cause, O Lord;"
Lamentations;3;59;"You have seen the wrong done to me, O Lord;"
Lamentations;3;60;"You have seen all their vengeance,"
Lamentations;3;61;"“You have heard their taunts, O Lord,"
Lamentations;3;62;"The lips and thoughts of my assailants"
Lamentations;3;63;"Behold their sitting and their rising;"
Lamentations;3;64;"“You will repay them, O Lord,"
Lamentations;3;65;"You will give them dullness of heart;"
Lamentations;3;66;"You will pursue them in anger and destroy them"
Lamentations;4;4;"How the gold has grown dim,"
Lamentations;4;2;"The precious sons of Zion,"
Lamentations;4;3;"Even jackals offer the breast;"
Lamentations;4;4;"The tongue of the nursing infant sticks"
Lamentations;4;5;"Those who once feasted on delicacies"
Lamentations;4;6;"For the chastisement of the daughter of my people has been greater"
Lamentations;4;7;"Her princes were purer than snow,"
Lamentations;4;8;"Now their face is blacker than soot;"
Lamentations;4;9;"Happier were the victims of the sword"
Lamentations;4;10;"The hands of compassionate women"
Lamentations;4;11;"The Lord gave full vent to his wrath;"
Lamentations;4;12;"The kings of the earth did not believe,"
Lamentations;4;13;"This was for the sins of her prophets"
Lamentations;4;14;"They wandered, blind, through the streets;"
Lamentations;4;15;"“Away! Unclean!” people cried at them."
Lamentations;4;16;"The Lord himself has scattered them;"
Lamentations;4;17;"Our eyes failed, ever watching"
Lamentations;4;18;"They dogged our steps"
Lamentations;4;19;"Our pursuers were swifter"
Lamentations;4;20;"The breath of our nostrils, the Lord's anointed,"
Lamentations;4;21;"Rejoice and be glad, O daughter of Edom,"
Lamentations;4;22;"The punishment of your iniquity, O daughter of Zion, is accomplished;"
Lamentations;5;5;"Remember, O Lord, what has befallen us;"
Lamentations;5;2;"Our inheritance has been turned over to strangers,"
Lamentations;5;3;"We have become orphans, fatherless;"
Lamentations;5;4;"We must pay for the water we drink;"
Lamentations;5;5;"Our pursuers are at our necks;"
Lamentations;5;6;"We have given the hand to Egypt, and to Assyria,"
Lamentations;5;7;"Our fathers sinned, and are no more;"
Lamentations;5;8;"Slaves rule over us;"
Lamentations;5;9;"We get our bread at the peril of our lives,"
Lamentations;5;10;"Our skin is hot as an oven"
Lamentations;5;11;"Women are raped in Zion,"
Lamentations;5;12;"Princes are hung up by their hands;"
Lamentations;5;13;"Young men are compelled to grind at the mill,"
Lamentations;5;14;"The old men have left the city gate,"
Lamentations;5;15;"The joy of our hearts has ceased;"
Lamentations;5;16;"The crown has fallen from our head;"
Lamentations;5;17;"For this our heart has become sick,"
Lamentations;5;18;"for Mount Zion which lies desolate;"
Lamentations;5;19;"But you, O Lord, reign forever;"
Lamentations;5;20;"Why do you forget us forever,"
Lamentations;5;21;"Restore us to yourself, O Lord, that we may be restored!"
Lamentations;5;22;"unless you have utterly rejected us,"
