Book;Chapter;Verse;Content
Hosea;1;1;"The word of the Lord that came to Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel."
Hosea;1;2;"When the Lord first spoke through Hosea, the Lord said to Hosea, “Go, take to yourself a wife of whoredom and have children of whoredom, for the land commits great whoredom by forsaking the Lord.”"
Hosea;1;3;"So he went and took Gomer, the daughter of Diblaim, and she conceived and bore him a son."
Hosea;1;4;"And the Lord said to him, “Call his name Jezreel, for in just a little while I will punish the house of Jehu for the blood of Jezreel, and I will put an end to the kingdom of the house of Israel."
Hosea;1;5;"And on that day I will break the bow of Israel in the Valley of Jezreel.”"
Hosea;1;6;"She conceived again and bore a daughter. And the Lord said to him, “Call her name No Mercy, for I will no more have mercy on the house of Israel, to forgive them at all."
Hosea;1;7;"But I will have mercy on the house of Judah, and I will save them by the Lord their God. I will not save them by bow or by sword or by war or by horses or by horsemen.”"
Hosea;1;8;"When she had weaned No Mercy, she conceived and bore a son."
Hosea;1;9;"And the Lord said, “Call his name Not My People, for you are not my people, and I am not your God.”"
Hosea;1;10;" Yet the number of the children of Israel shall be like the sand of the sea, which cannot be measured or numbered. And in the place where it was said to them, “You are not my people,” it shall be said to them, “Children of the living God.”"
Hosea;1;11;"And the children of Judah and the children of Israel shall be gathered together, and they shall appoint for themselves one head. And they shall go up from the land, for great shall be the day of Jezreel."
Hosea;2;2;" Say to your brothers, “You are my people,” and to your sisters, “You have received mercy.”"
Hosea;2;2;"“Plead with your mother, plead—"
Hosea;2;3;"lest I strip her naked"
Hosea;2;4;"Upon her children also I will have no mercy,"
Hosea;2;5;"For their mother has played the whore;"
Hosea;2;6;"Therefore I will hedge up her way with thorns,"
Hosea;2;7;"She shall pursue her lovers"
Hosea;2;8;"And she did not know"
Hosea;2;9;"Therefore I will take back"
Hosea;2;10;"Now I will uncover her lewdness"
Hosea;2;11;"And I will put an end to all her mirth,"
Hosea;2;12;"And I will lay waste her vines and her fig trees,"
Hosea;2;13;"And I will punish her for the feast days of the Baals"
Hosea;2;14;"“Therefore, behold, I will allure her,"
Hosea;2;15;"And there I will give her her vineyards"
Hosea;2;16;"“And in that day, declares the Lord, you will call me ‘My Husband,’ and no longer will you call me ‘My Baal.’"
Hosea;2;17;"For I will remove the names of the Baals from her mouth, and they shall be remembered by name no more."
Hosea;2;18;"And I will make for them a covenant on that day with the beasts of the field, the birds of the heavens, and the creeping things of the ground. And I will abolish the bow, the sword, and war from the land, and I will make you lie down in safety."
Hosea;2;19;"And I will betroth you to me forever. I will betroth you to me in righteousness and in justice, in steadfast love and in mercy."
Hosea;2;20;"I will betroth you to me in faithfulness. And you shall know the Lord."
Hosea;2;21;"“And in that day I will answer, declares the Lord,"
Hosea;2;22;"and the earth shall answer the grain, the wine, and the oil,"
Hosea;2;23;"&nbsp;&nbsp;&nbsp;&nbsp;and I will sow her for myself in the land."
Hosea;3;3;"And the Lord said to me, “Go again, love a woman who is loved by another man and is an adulteress, even as the Lord loves the children of Israel, though they turn to other gods and love cakes of raisins.”"
Hosea;3;2;"So I bought her for fifteen shekels of silver and a homer and a lethech of barley."
Hosea;3;3;"And I said to her, “You must dwell as mine for many days. You shall not play the whore, or belong to another man; so will I also be to you.”"
Hosea;3;4;"For the children of Israel shall dwell many days without king or prince, without sacrifice or pillar, without ephod or household gods."
Hosea;3;5;"Afterward the children of Israel shall return and seek the Lord their God, and David their king, and they shall come in fear to the Lord and to his goodness in the latter days."
Hosea;4;4;"Hear the word of the Lord, O children of Israel,"
Hosea;4;2;"there is swearing, lying, murder, stealing, and committing adultery;"
Hosea;4;3;"Therefore the land mourns,"
Hosea;4;4;"Yet let no one contend,"
Hosea;4;5;"You shall stumble by day;"
Hosea;4;6;"My people are destroyed for lack of knowledge;"
Hosea;4;7;"The more they increased,"
Hosea;4;8;"They feed on the sin of my people;"
Hosea;4;9;"And it shall be like people, like priest;"
Hosea;4;10;"They shall eat, but not be satisfied;"
Hosea;4;12;"My people inquire of a piece of wood,"
Hosea;4;13;"They sacrifice on the tops of the mountains"
Hosea;4;14;"I will not punish your daughters when they play the whore,"
Hosea;4;15;"Though you play the whore, O Israel,"
Hosea;4;16;"Like a stubborn heifer,"
Hosea;4;17;"Ephraim is joined to idols;"
Hosea;4;18;"When their drink is gone, they give themselves to whoring;"
Hosea;4;19;"A wind has wrapped them in its wings,"
Hosea;5;5;"Hear this, O priests!"
Hosea;5;2;"And the revolters have gone deep into slaughter,"
Hosea;5;3;"I know Ephraim,"
Hosea;5;4;"Their deeds do not permit them"
Hosea;5;5;"The pride of Israel testifies to his face;"
Hosea;5;6;"With their flocks and herds they shall go"
Hosea;5;7;"They have dealt faithlessly with the Lord;"
Hosea;5;8;"Blow the horn in Gibeah,"
Hosea;5;9;"Ephraim shall become a desolation"
Hosea;5;10;"The princes of Judah have become"
Hosea;5;11;"Ephraim is oppressed, crushed in judgment,"
Hosea;5;12;"But I am like a moth to Ephraim,"
Hosea;5;13;"When Ephraim saw his sickness,"
Hosea;5;14;"For I will be like a lion to Ephraim,"
Hosea;5;15;"I will return again to my place,"
Hosea;6;6;"“Come, let us return to the Lord;"
Hosea;6;2;"After two days he will revive us;"
Hosea;6;3;"Let us know; let us press on to know the Lord;"
Hosea;6;4;"What shall I do with you, O Ephraim?"
Hosea;6;5;"Therefore I have hewn them by the prophets;"
Hosea;6;6;"For I desire steadfast love and not sacrifice,"
Hosea;6;7;"But like Adam they transgressed the covenant;"
Hosea;6;8;"Gilead is a city of evildoers,"
Hosea;6;9;"As robbers lie in wait for a man,"
Hosea;6;10;"In the house of Israel I have seen a horrible thing;"
Hosea;6;11;"For you also, O Judah, a harvest is appointed."
Hosea;7;7;"when I would heal Israel,"
Hosea;7;2;"But they do not consider"
Hosea;7;3;"By their evil they make the king glad,"
Hosea;7;4;"They are all adulterers;"
Hosea;7;5;"On the day of our king, the princes"
Hosea;7;6;"For with hearts like an oven they approach their intrigue;"
Hosea;7;7;"All of them are hot as an oven,"
Hosea;7;8;"Ephraim mixes himself with the peoples;"
Hosea;7;9;"Strangers devour his strength,"
Hosea;7;10;"The pride of Israel testifies to his face;"
Hosea;7;11;"Ephraim is like a dove,"
Hosea;7;12;"As they go, I will spread over them my net;"
Hosea;7;13;"Woe to them, for they have strayed from me!"
