Book;Chapter;Verse;Content
Joel;1;1;"The word of the Lord that came to Joel, the son of Pethuel:"
Joel;1;2;"Hear this, you elders;"
Joel;1;3;"Tell your children of it,"
Joel;1;4;"What the cutting locust left,"
Joel;1;5;"Awake, you drunkards, and weep,"
Joel;1;6;"For a nation has come up against my land,"
Joel;1;7;"It has laid waste my vine"
Joel;1;8;"Lament like a virgin wearing sackcloth"
Joel;1;9;"The grain offering and the drink offering are cut off"
Joel;1;10;"The fields are destroyed,"
Joel;1;11;"Be ashamed, O tillers of the soil;"
Joel;1;12;"The vine dries up;"
Joel;1;13;"Put on sackcloth and lament, O priests;"
Joel;1;14;"Consecrate a fast;"
Joel;1;15;"Alas for the day!"
Joel;1;16;"Is not the food cut off"
Joel;1;17;"The seed shrivels under the clods;"
Joel;1;18;"How the beasts groan!"
Joel;1;19;"To you, O Lord, I call."
Joel;1;20;"Even the beasts of the field pant for you"
Joel;2;2;"Blow a trumpet in Zion;"
Joel;2;2;"a day of darkness and gloom,"
Joel;2;3;"Fire devours before them,"
Joel;2;4;"Their appearance is like the appearance of horses,"
Joel;2;5;"As with the rumbling of chariots,"
Joel;2;6;"Before them peoples are in anguish;"
Joel;2;7;"Like warriors they charge;"
Joel;2;8;"They do not jostle one another;"
Joel;2;9;"They leap upon the city,"
Joel;2;10;"The earth quakes before them;"
Joel;2;11;"The Lord utters his voice"
Joel;2;12;"“Yet even now,” declares the Lord,"
Joel;2;13;"&nbsp;&nbsp;&nbsp;&nbsp;and rend your hearts and not your garments.”"
Joel;2;14;"Who knows whether he will not turn and relent,"
Joel;2;15;"Blow the trumpet in Zion;"
Joel;2;16;"&nbsp;&nbsp;&nbsp;&nbsp;gather the people."
Joel;2;17;"Between the vestibule and the altar"
Joel;2;18;"Then the Lord became jealous for his land"
Joel;2;19;"The Lord answered and said to his people,"
Joel;2;20;"“I will remove the northerner far from you,"
Joel;2;21;"“Fear not, O land;"
Joel;2;22;"Fear not, you beasts of the field,"
Joel;2;23;"“Be glad, O children of Zion,"
Joel;2;24;"“The threshing floors shall be full of grain;"
Joel;2;25;"I will restore to you the years"
Joel;2;26;"“You shall eat in plenty and be satisfied,"
Joel;2;27;"You shall know that I am in the midst of Israel,"
Joel;2;28;" “And it shall come to pass afterward,"
Joel;2;29;"Even on the male and female servants"
Joel;2;30;"“And I will show wonders in the heavens and on the earth, blood and fire and columns of smoke."
Joel;2;31;"The sun shall be turned to darkness, and the moon to blood, before the great and awesome day of the Lord comes."
Joel;2;32;"And it shall come to pass that everyone who calls on the name of the Lord shall be saved. For in Mount Zion and in Jerusalem there shall be those who escape, as the Lord has said, and among the survivors shall be those whom the Lord calls."
Joel;3;3;" “For behold, in those days and at that time, when I restore the fortunes of Judah and Jerusalem,"
Joel;3;2;"I will gather all the nations and bring them down to the Valley of Jehoshaphat. And I will enter into judgment with them there, on behalf of my people and my heritage Israel, because they have scattered them among the nations and have divided up my land,"
Joel;3;3;"and have cast lots for my people, and have traded a boy for a prostitute, and have sold a girl for wine and have drunk it."
Joel;3;4;"“What are you to me, O Tyre and Sidon, and all the regions of Philistia? Are you paying me back for something? If you are paying me back, I will return your payment on your own head swiftly and speedily."
Joel;3;5;"For you have taken my silver and my gold, and have carried my rich treasures into your temples."
Joel;3;6;"You have sold the people of Judah and Jerusalem to the Greeks in order to remove them far from their own border."
Joel;3;7;"Behold, I will stir them up from the place to which you have sold them, and I will return your payment on your own head."
Joel;3;8;"I will sell your sons and your daughters into the hand of the people of Judah, and they will sell them to the Sabeans, to a nation far away, for the Lord has spoken.”"
Joel;3;9;"Proclaim this among the nations:"
Joel;3;10;"Beat your plowshares into swords,"
Joel;3;11;"Hasten and come,"
Joel;3;12;"Let the nations stir themselves up"
Joel;3;13;"Put in the sickle,"
Joel;3;14;"Multitudes, multitudes,"
Joel;3;15;"The sun and the moon are darkened,"
Joel;3;16;"The Lord roars from Zion,"
Joel;3;17;"“So you shall know that I am the Lord your God,"
Joel;3;18;"“And in that day"
Joel;3;19;"“Egypt shall become a desolation"
Joel;3;20;"But Judah shall be inhabited forever,"
Joel;3;21;"I will avenge their blood,"
