Book;Chapter;Verse;Content
Amos;1;1;"The words of Amos, who was among the shepherds of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah and in the days of Jeroboam the son of Joash, king of Israel, two years before the earthquake."
Amos;1;2;"And he said:"
Amos;1;3;"Thus says the Lord:"
Amos;1;4;"So I will send a fire upon the house of Hazael,"
Amos;1;5;"I will break the gate-bar of Damascus,"
Amos;1;6;"Thus says the Lord:"
Amos;1;7;"So I will send a fire upon the wall of Gaza,"
Amos;1;8;"I will cut off the inhabitants from Ashdod,"
Amos;1;9;"Thus says the Lord:"
Amos;1;10;"So I will send a fire upon the wall of Tyre,"
Amos;1;11;"Thus says the Lord:"
Amos;1;12;"So I will send a fire upon Teman,"
Amos;1;13;"Thus says the Lord:"
Amos;1;14;"So I will kindle a fire in the wall of Rabbah,"
Amos;1;15;"and their king shall go into exile,"
Amos;2;2;"Thus says the Lord:"
Amos;2;2;"So I will send a fire upon Moab,"
Amos;2;3;"I will cut off the ruler from its midst,"
Amos;2;4;"Thus says the Lord:"
Amos;2;5;"So I will send a fire upon Judah,"
Amos;2;6;"Thus says the Lord:"
Amos;2;7;"those who trample the head of the poor into the dust of the earth"
Amos;2;8;"they lay themselves down beside every altar"
Amos;2;9;"“Yet it was I who destroyed the Amorite before them,"
Amos;2;10;"Also it was I who brought you up out of the land of Egypt"
Amos;2;11;"And I raised up some of your sons for prophets,"
Amos;2;12;"“But you made the Nazirites drink wine,"
Amos;2;13;"“Behold, I will press you down in your place,"
Amos;2;14;"Flight shall perish from the swift,"
Amos;2;15;"he who handles the bow shall not stand,"
Amos;2;16;"and he who is stout of heart among the mighty"
Amos;3;3;"Hear this word that the Lord has spoken against you, O people of Israel, against the whole family that I brought up out of the land of Egypt:"
Amos;3;2;"“You only have I known"
Amos;3;3;"“Do two walk together,"
Amos;3;4;"Does a lion roar in the forest,"
Amos;3;5;"Does a bird fall in a snare on the earth,"
Amos;3;6;"Is a trumpet blown in a city,"
Amos;3;7;"“For the Lord God does nothing"
Amos;3;8;"The lion has roared;"
Amos;3;9;"Proclaim to the strongholds in Ashdod"
Amos;3;10;"“They do not know how to do right,” declares the Lord,"
Amos;3;11;"Therefore thus says the Lord God:"
Amos;3;12;"Thus says the Lord: “As the shepherd rescues from the mouth of the lion two legs, or a piece of an ear, so shall the people of Israel who dwell in Samaria be rescued, with the corner of a couch and part of a bed."
Amos;3;13;"“Hear, and testify against the house of Jacob,”"
Amos;3;14;"“that on the day I punish Israel for his transgressions,"
Amos;3;15;"I will strike the winter house along with the summer house,"
Amos;4;4;"“Hear this word, you cows of Bashan,"
Amos;4;2;"The Lord God has sworn by his holiness"
Amos;4;3;"And you shall go out through the breaches,"
Amos;4;4;"“Come to Bethel, and transgress;"
Amos;4;5;"offer a sacrifice of thanksgiving of that which is leavened,"
Amos;4;6;"“I gave you cleanness of teeth in all your cities,"
Amos;4;7;"“I also withheld the rain from you"
Amos;4;8;"so two or three cities would wander to another city"
Amos;4;9;"“I struck you with blight and mildew;"
Amos;4;10;"“I sent among you a pestilence after the manner of Egypt;"
Amos;4;11;"“I overthrew some of you,"
Amos;4;12;"“Therefore thus I will do to you, O Israel;"
Amos;4;13;"For behold, he who forms the mountains and creates the wind,"
Amos;5;5;"Hear this word that I take up over you in lamentation, O house of Israel:"
Amos;5;2;"“Fallen, no more to rise,"
Amos;5;3;"For thus says the Lord God:"
Amos;5;4;"For thus says the Lord to the house of Israel:"
Amos;5;5;"&nbsp;&nbsp;&nbsp;&nbsp;but do not seek Bethel,"
Amos;5;6;"Seek the Lord and live,"
Amos;5;7;"O you who turn justice to wormwood"
Amos;5;8;"He who made the Pleiades and Orion,"
Amos;5;9;"who makes destruction flash forth against the strong,"
Amos;5;10;"They hate him who reproves in the gate,"
Amos;5;11;"Therefore because you trample on the poor"
Amos;5;12;"For I know how many are your transgressions"
Amos;5;13;"Therefore he who is prudent will keep silent in such a time,"
Amos;5;14;"Seek good, and not evil,"
Amos;5;15;"Hate evil, and love good,"
Amos;5;16;"Therefore thus says the Lord, the God of hosts, the Lord:"
Amos;5;17;"and in all vineyards there shall be wailing,"
Amos;5;18;"Woe to you who desire the day of the Lord!"
Amos;5;19;"&nbsp;&nbsp;&nbsp;&nbsp;"
Amos;5;20;"Is not the day of the Lord darkness, and not light,"
Amos;5;21;"“I hate, I despise your feasts,"
Amos;5;22;"Even though you offer me your burnt offerings and grain offerings,"
Amos;5;23;"Take away from me the noise of your songs;"
Amos;5;24;"But let justice roll down like waters,"
Amos;5;25;"“Did you bring to me sacrifices and offerings during the forty years in the wilderness, O house of Israel?"
Amos;5;26;"You shall take up Sikkuth your king, and Kiyyun your star-god—your images that you made for yourselves,"
Amos;5;27;"and I will send you into exile beyond Damascus,” says the Lord, whose name is the God of hosts."
Amos;6;6;"“Woe to those who are at ease in Zion,"
Amos;6;2;"Pass over to Calneh, and see,"
Amos;6;3;"O you who put far away the day of disaster"
