Book;Chapter;Verse;Content
Obadiah;1;1;"The vision of Obadiah."
Obadiah;1;2;"Behold, I will make you small among the nations;"
Obadiah;1;3;"The pride of your heart has deceived you,"
Obadiah;1;4;"Though you soar aloft like the eagle,"
Obadiah;1;5;"If thieves came to you,"
Obadiah;1;6;"How Esau has been pillaged,"
Obadiah;1;7;"All your allies have driven you to your border;"
Obadiah;1;8;"Will I not on that day, declares the Lord,"
Obadiah;1;9;"And your mighty men shall be dismayed, O Teman,"
Obadiah;1;10;"Because of the violence done to your brother Jacob,"
Obadiah;1;11;"On the day that you stood aloof,"
Obadiah;1;12;"But do not gloat over the day of your brother"
Obadiah;1;13;"Do not enter the gate of my people"
Obadiah;1;14;"Do not stand at the crossroads"
Obadiah;1;15;"For the day of the Lord is near upon all the nations."
Obadiah;1;16;"For as you have drunk on my holy mountain,"
Obadiah;1;17;"But in Mount Zion there shall be those who escape,"
Obadiah;1;18;"The house of Jacob shall be a fire,"
Obadiah;1;19;"Those of the Negeb shall possess Mount Esau,"
Obadiah;1;20;"The exiles of this host of the people of Israel"
Obadiah;1;21;"Saviors shall go up to Mount Zion"
