Book;Chapter;Verse;Content
Micah;1;1;"The word of the Lord that came to Micah of Moresheth in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem."
Micah;1;2;"Hear, you peoples, all of you;"
Micah;1;3;"For behold, the Lord is coming out of his place,"
Micah;1;4;"And the mountains will melt under him,"
Micah;1;5;"All this is for the transgression of Jacob"
Micah;1;6;"Therefore I will make Samaria a heap in the open country,"
Micah;1;7;"All her carved images shall be beaten to pieces,"
Micah;1;8;"For this I will lament and wail;"
Micah;1;9;"For her wound is incurable,"
Micah;1;10;"Tell it not in Gath;"
Micah;1;11;"Pass on your way,"
Micah;1;12;"For the inhabitants of Maroth"
Micah;1;13;"Harness the steeds to the chariots,"
Micah;1;14;"Therefore you shall give parting gifts"
Micah;1;15;"I will again bring a conqueror to you,"
Micah;1;16;"Make yourselves bald and cut off your hair,"
Micah;2;2;"Woe to those who devise wickedness"
Micah;2;2;"They covet fields and seize them,"
Micah;2;3;"Therefore thus says the Lord:"
Micah;2;4;"In that day they shall take up a taunt song against you"
Micah;2;5;"Therefore you will have none to cast the line by lot"
Micah;2;6;"“Do not preach”—thus they preach—"
Micah;2;7;"Should this be said, O house of Jacob?"
Micah;2;8;"But lately my people have risen up as an enemy;"
Micah;2;9;"The women of my people you drive out"
Micah;2;10;"Arise and go,"
Micah;2;11;"If a man should go about and utter wind and lies,"
Micah;2;12;"I will surely assemble all of you, O Jacob;"
Micah;2;13;"He who opens the breach goes up before them;"
Micah;3;3;"And I said:"
Micah;3;2;"&nbsp;&nbsp;&nbsp;&nbsp;you who hate the good and love the evil,"
Micah;3;3;"who eat the flesh of my people,"
Micah;3;4;"Then they will cry to the Lord,"
Micah;3;5;"Thus says the Lord concerning the prophets"
Micah;3;6;"Therefore it shall be night to you, without vision,"
Micah;3;7;"the seers shall be disgraced,"
Micah;3;8;"But as for me, I am filled with power,"
Micah;3;9;"Hear this, you heads of the house of Jacob"
Micah;3;10;"who build Zion with blood"
Micah;3;11;"Its heads give judgment for a bribe;"
Micah;3;12;"Therefore because of you"
Micah;4;4;"It shall come to pass in the latter days"
Micah;4;2;"&nbsp;&nbsp;&nbsp;&nbsp;and many nations shall come, and say:"
Micah;4;3;"He shall judge between many peoples,"
Micah;4;4;"but they shall sit every man under his vine and under his fig tree,"
Micah;4;5;"For all the peoples walk"
Micah;4;6;"In that day, declares the Lord,"
Micah;4;7;"and the lame I will make the remnant,"
Micah;4;8;"And you, O tower of the flock,"
Micah;4;9;"Now why do you cry aloud?"
Micah;4;10;"Writhe and groan, O daughter of Zion,"
Micah;4;11;"Now many nations"
Micah;4;12;"But they do not know"
Micah;4;13;"Arise and thresh,"
Micah;5;5;" Now muster your troops, O daughter of troops;"
Micah;5;2;" But you, O Bethlehem Ephrathah,"
Micah;5;3;"Therefore he shall give them up until the time"
Micah;5;4;"And he shall stand and shepherd his flock in the strength of the Lord,"
Micah;5;5;"And he shall be their peace."
Micah;5;6;"they shall shepherd the land of Assyria with the sword,"
Micah;5;7;"Then the remnant of Jacob shall be"
Micah;5;8;"And the remnant of Jacob shall be among the nations,"
Micah;5;9;"Your hand shall be lifted up over your adversaries,"
Micah;5;10;"And in that day, declares the Lord,"
Micah;5;11;"and I will cut off the cities of your land"
Micah;5;12;"and I will cut off sorceries from your hand,"
Micah;5;13;"and I will cut off your carved images"
Micah;5;14;"and I will root out your Asherah images from among you"
Micah;5;15;"And in anger and wrath I will execute vengeance"
Micah;6;6;"Hear what the Lord says:"
Micah;6;2;"Hear, you mountains, the indictment of the Lord,"
Micah;6;3;"“O my people, what have I done to you?"
Micah;6;4;"For I brought you up from the land of Egypt"
Micah;6;5;"O my people, remember what Balak king of Moab devised,"
Micah;6;6;"“With what shall I come before the Lord,"
Micah;6;7;"Will the Lord be pleased with thousands of rams,"
Micah;6;8;"He has told you, O man, what is good;"
Micah;6;9;"The voice of the Lord cries to the city—"
Micah;6;10;"&nbsp;&nbsp;&nbsp;&nbsp;Can I forget any longer the treasures of wickedness in the house of the wicked,"
Micah;6;11;"Shall I acquit the man with wicked scales"
Micah;6;12;"Your rich men are full of violence;"
Micah;6;13;"Therefore I strike you with a grievous blow,"
Micah;6;14;"You shall eat, but not be satisfied,"
Micah;6;15;"You shall sow, but not reap;"
Micah;6;16;"For you have kept the statutes of Omri,"
Micah;7;7;"Woe is me! For I have become"
Micah;7;2;"The godly has perished from the earth,"
Micah;7;3;"Their hands are on what is evil, to do it well;"
Micah;7;4;"The best of them is like a brier,"
Micah;7;5;"Put no trust in a neighbor;"
Micah;7;6;"for the son treats the father with contempt,"
Micah;7;7;"But as for me, I will look to the Lord;"
Micah;7;8;"Rejoice not over me, O my enemy;"
Micah;7;9;"I will bear the indignation of the Lord"
Micah;7;10;"Then my enemy will see,"
Micah;7;11;"A day for the building of your walls!"
Micah;7;12;"In that day they will come to you,"
Micah;7;13;"But the earth will be desolate"
Micah;7;14;"Shepherd your people with your staff,"
Micah;7;15;"As in the days when you came out of the land of Egypt,"
Micah;7;16;"The nations shall see and be ashamed of all their might;"
Micah;7;17;"they shall lick the dust like a serpent,"
Micah;7;18;"Who is a God like you, pardoning iniquity"
Micah;7;19;"He will again have compassion on us;"
Micah;7;20;"You will show faithfulness to Jacob"
