Book;Chapter;Verse;Content
Habakkuk;1;1;"The oracle that Habakkuk the prophet saw."
Habakkuk;1;2;"O Lord, how long shall I cry for help,"
Habakkuk;1;3;"Why do you make me see iniquity,"
Habakkuk;1;4;"So the law is paralyzed,"
Habakkuk;1;5;"“Look among the nations, and see;"
Habakkuk;1;6;"For behold, I am raising up the Chaldeans,"
Habakkuk;1;7;"They are dreaded and fearsome;"
Habakkuk;1;8;"Their horses are swifter than leopards,"
Habakkuk;1;9;"They all come for violence,"
Habakkuk;1;10;"At kings they scoff,"
Habakkuk;1;11;"Then they sweep by like the wind and go on,"
Habakkuk;1;12;"Are you not from everlasting,"
Habakkuk;1;13;"You who are of purer eyes than to see evil"
Habakkuk;1;14;"You make mankind like the fish of the sea,"
Habakkuk;1;15;"He brings all of them up with a hook;"
Habakkuk;1;16;"Therefore he sacrifices to his net"
Habakkuk;1;17;"Is he then to keep on emptying his net"
Habakkuk;2;2;"I will take my stand at my watchpost"
Habakkuk;2;2;"And the Lord answered me:"
Habakkuk;2;3;"For still the vision awaits its appointed time;"
Habakkuk;2;4;"“Behold, his soul is puffed up; it is not upright within him,"
Habakkuk;2;5;"“Moreover, wine is a traitor,"
Habakkuk;2;6;"Shall not all these take up their taunt against him, with scoffing and riddles for him, and say,"
Habakkuk;2;7;"Will not your debtors suddenly arise,"
Habakkuk;2;8;"Because you have plundered many nations,"
Habakkuk;2;9;"“Woe to him who gets evil gain for his house,"
Habakkuk;2;10;"You have devised shame for your house"
Habakkuk;2;11;"For the stone will cry out from the wall,"
Habakkuk;2;12;"“Woe to him who builds a town with blood"
Habakkuk;2;13;"Behold, is it not from the Lord of hosts"
Habakkuk;2;14;"For the earth will be filled"
Habakkuk;2;15;"“Woe to him who makes his neighbors drink—"
Habakkuk;2;16;"You will have your fill of shame instead of glory."
Habakkuk;2;17;"The violence done to Lebanon will overwhelm you,"
Habakkuk;2;18;"“What profit is an idol"
Habakkuk;2;19;"Woe to him who says to a wooden thing, Awake;"
Habakkuk;2;20;"But the Lord is in his holy temple;"
Habakkuk;3;3;"A prayer of Habakkuk the prophet, according to Shigionoth."
Habakkuk;3;2;"O Lord, I have heard the report of you,"
Habakkuk;3;3;"God came from Teman,"
Habakkuk;3;4;"His brightness was like the light;"
Habakkuk;3;5;"Before him went pestilence,"
Habakkuk;3;6;"He stood and measured the earth;"
Habakkuk;3;7;"I saw the tents of Cushan in affliction;"
Habakkuk;3;8;"Was your wrath against the rivers, O Lord?"
Habakkuk;3;9;"You stripped the sheath from your bow,"
Habakkuk;3;10;"The mountains saw you and writhed;"
Habakkuk;3;11;"The sun and moon stood still in their place"
Habakkuk;3;12;"You marched through the earth in fury;"
Habakkuk;3;13;"You went out for the salvation of your people,"
Habakkuk;3;14;"You pierced with his own arrows the heads of his warriors,"
Habakkuk;3;15;"You trampled the sea with your horses,"
Habakkuk;3;16;"I hear, and my body trembles;"
Habakkuk;3;17;"Though the fig tree should not blossom,"
Habakkuk;3;18;"yet I will rejoice in the Lord;"
Habakkuk;3;19;"God, the Lord, is my strength;"
