Book;Chapter;Verse;Content
Zephaniah;1;1;"The word of the Lord that came to Zephaniah the son of Cushi, son of Gedaliah, son of Amariah, son of Hezekiah, in the days of Josiah the son of Amon, king of Judah."
Zephaniah;1;2;"“I will utterly sweep away everything"
Zephaniah;1;3;"“I will sweep away man and beast;"
Zephaniah;1;4;"“I will stretch out my hand against Judah"
Zephaniah;1;5;"those who bow down on the roofs"
Zephaniah;1;6;"those who have turned back from following the Lord,"
Zephaniah;1;7;"Be silent before the Lord God!"
Zephaniah;1;8;"And on the day of the Lord's sacrifice—"
Zephaniah;1;9;"On that day I will punish"
Zephaniah;1;10;"“On that day,” declares the Lord,"
Zephaniah;1;11;"Wail, O inhabitants of the Mortar!"
Zephaniah;1;12;"At that time I will search Jerusalem with lamps,"
Zephaniah;1;13;"Their goods shall be plundered,"
Zephaniah;1;14;"The great day of the Lord is near,"
Zephaniah;1;15;"A day of wrath is that day,"
Zephaniah;1;16;"&nbsp;&nbsp;&nbsp;&nbsp;"
Zephaniah;1;17;"I will bring distress on mankind,"
Zephaniah;1;18;"Neither their silver nor their gold"
Zephaniah;2;2;"Gather together, yes, gather,"
Zephaniah;2;2;"before the decree takes effect"
Zephaniah;2;3;"Seek the Lord, all you humble of the land,"
Zephaniah;2;4;"For Gaza shall be deserted,"
Zephaniah;2;5;"Woe to you inhabitants of the seacoast,"
Zephaniah;2;6;"And you, O seacoast, shall be pastures,"
Zephaniah;2;7;"The seacoast shall become the possession"
Zephaniah;2;8;"“I have heard the taunts of Moab"
Zephaniah;2;9;"Therefore, as I live,” declares the Lord of hosts,"
Zephaniah;2;10;"This shall be their lot in return for their pride,"
Zephaniah;2;11;"The Lord will be awesome against them;"
Zephaniah;2;12;"You also, O Cushites,"
Zephaniah;2;13;"And he will stretch out his hand against the north"
Zephaniah;2;14;"Herds shall lie down in her midst,"
Zephaniah;2;15;"This is the exultant city"
Zephaniah;3;3;"Woe to her who is rebellious and defiled,"
Zephaniah;3;2;"She listens to no voice;"
Zephaniah;3;3;"Her officials within her"
Zephaniah;3;4;"Her prophets are fickle, treacherous men;"
Zephaniah;3;5;"The Lord within her is righteous;"
Zephaniah;3;6;"“I have cut off nations;"
Zephaniah;3;7;"I said, ‘Surely you will fear me;"
Zephaniah;3;8;"“Therefore wait for me,” declares the Lord,"
Zephaniah;3;9;"“For at that time I will change the speech of the peoples"
Zephaniah;3;10;"From beyond the rivers of Cush"
Zephaniah;3;11;"“On that day you shall not be put to shame"
Zephaniah;3;12;"But I will leave in your midst"
Zephaniah;3;13;"&nbsp;&nbsp;&nbsp;&nbsp;"
Zephaniah;3;14;"Sing aloud, O daughter of Zion;"
Zephaniah;3;15;"The Lord has taken away the judgments against you;"
Zephaniah;3;16;"On that day it shall be said to Jerusalem:"
Zephaniah;3;17;"The Lord your God is in your midst,"
Zephaniah;3;18;"I will gather those of you who mourn for the festival,"
Zephaniah;3;19;"Behold, at that time I will deal"
Zephaniah;3;20;"At that time I will bring you in,"
